time0	time1	time2	D.value
0	297	287	1.21761119177437e-07
0	297	324	1.40209773598261e-07
0	327	287	1.18071388293272e-07
0	297	287	1.80796813324073e-07
0	328	287	1.07002195640778e-07
0	328	287	1.4758923536659e-07
0	327	324	1.36520042714096e-07
0	297	324	1.58658428019084e-07
0	328	324	1.25450850061602e-07
0	328	324	1.66037889787414e-07
0	327	287	1.77107082439908e-07
0	328	287	2.06624929513226e-07
0	327	324	1.5496869713492e-07
0	328	324	1.43899504482425e-07
0	328	287	1.66037889787414e-07
0	328	324	1.84486544208238e-07
215	324	287	1.07002195640778e-07
215	287	287	1.4758923536659e-07
215	324	287	1.25450850061602e-07
217	327	297	1.51278966250755e-07
217	328	297	1.80796813324073e-07
217	328	297	1.40209773598261e-07
247	324	287	1.66037889787414e-07
247	324	287	1.84486544208238e-07
258	327	328	1.77107082439908e-07
258	328	328	1.66037889787414e-07
283	324	324	1.43899504482425e-07
286	328	327	1.36520042714096e-07
